licence_number,expiry_date,services,subtype,name,secondary_name,location,address,street_address,city,postal_code,business_phone,business_fax
X029908,2025-01-01,"['trading', 'rental', 'strata']",Brokerage,Cherry Creek Property Services Ltd.,Cherry Creek Property Services Ltd.,Kimberley,"155 Howard Street, Kimberley",155 Howard Street, Kimberley,V1A 2G5,(250) 427-7411,(250) 427-7401
X037270,2024-02-08,"['trading', 'rental', 'strata']",Brokerage,Choi and Co Realty Inc.,Choi and Co Realty Inc.,Vancouver,"450 SW Marine Drive Unit 1800, Vancouver",450 SW Marine Drive Unit 1800, Vancouver,V5X 0C3,(236) 818-3471,
X027328,2025-03-20,['rental'],Brokerage,CHP Management (B.C.) Ltd.,CHP Management (B.C.) Ltd.,Vancouver,"1185 West Georgia Street, Suite 1040, Vancouver",1185 West Georgia Street, Suite 1040,V6E 4E6,(604) 683-1185,(604) 683-1183
X020137,2025-07-31,"['trading', 'rental']",Brokerage,Churchill Property Corporation,Churchill Property Corporation,Vancouver,"1010 - 1040 West Georgia Street, Vancouver",1010 - 1040 West Georgia Street, Vancouver,V6E 4H1,(604) 689-8500,(604) 684-5910
REX604693,2025-10-19,"['trading', 'rental']",Branch Office,CIR Realty,Canadian Independent Realty Ltd.,Vancouver,"151 West Hastings  Street, Vancouver",151 West Hastings  Street, Vancouver,V6B 1H4,(250) 863-8662,
X035959,2025-02-18,"['trading', 'rental']",Brokerage,CIR Realty,Canadian Independent Realty Ltd.,Kelowna,"1781 Abbott Street, Kelowna",1781 Abbott Street, Kelowna,V1Y 1B3,(250) 863-8662,
X032757,2024-06-13,"['trading', 'rental', 'strata']",Brokerage,City 2 City Real Estate Services Inc.,City 2 City Real Estate Services Inc.,Delta,"202 - 9453 120 Street, Delta",202 - 9453 120 Street, Delta,V4C 6S2,(778) 564-3008,
X028524,2025-08-31,"['trading', 'rental', 'strata']",Brokerage,Citybase Management Ltd.,Citybase Management Ltd.,Vancouver,"400-1200 West 73rd Avenue, Vancouver",400-1200 West 73rd Avenue, Vancouver,V6P 6G5,(604) 708-8998,(604) 708-9982
X034364,2024-02-27,['trading'],Brokerage,Claridge Real Estate Advisors Inc.,Claridge Real Estate Advisors Inc.,Vancouver,"408-2052 West 41st Avenue, Vancouver",408-2052 West 41st Avenue, Vancouver,V6M 1Y8,(778) 985-4639,
X027865,2025-04-10,"['trading', 'rental']",Brokerage,CLC Real Estate Services Ltd.,CLC Real Estate Services Ltd.,New Westminster,"404 - 301 E. Columbia Street, New Westminster",404 - 301 E. Columbia Street, New Westminster,V3L 3W5,(778) 228-9598,(604) 523-2081
X024758,2025-04-30,"['trading', 'rental', 'strata']",Brokerage,Clover Residential Ltd. ,Clover Residential Ltd. ,Victoria,"394 Moss Street, Victoria",394 Moss Street, Victoria,V8V 4N1,(250) 383-7100,(250) 383-2006
X034894,2025-01-02,['trading'],Brokerage,Clyde Property Management Services Ltd.,Clyde Property Management Services Ltd.,West Vancouver,"1495 Clyde Avenue, West Vancouver",1495 Clyde Avenue, West Vancouver,V7T 1E9,,
X022614,2024-08-31,"['trading', 'rental']",Brokerage,CM Realty & Properties Ltd.,CM Realty & Properties Ltd.,Vancouver,"600-1285 Broadway W, Vancouver",600-1285 Broadway W, Vancouver,V6H 3X8,(604) 783-3693,(604) 327-6283
X011881,2025-12-16,"['trading', 'rental', 'strata']",Brokerage,CML Properties,Connaught Management Ltd.,Kamloops,"272 Lansdowne Street, Kamloops",272 Lansdowne Street, Kamloops,V2C 1X7,(250) 372-1232,(250) 372-5363
X036690,2025-09-30,['trading'],Brokerage,CMLS Realty Ltd.,CMLS Realty Ltd.,Vancouver,"2110-1066 West Hastings Street, Vancouver",2110-1066 West Hastings Street, Vancouver,V6E 3X2,(604) 687-2118,
X026469,2024-04-02,"['trading', 'rental']",Brokerage,Coal Harbour Realty Advisors Inc.,Coal Harbour Realty Advisors Inc.,Vancouver,"500 - 856 Homer Street, Vancouver",500 - 856 Homer Street, Vancouver,V6B 2W5,(604) 609-6091,(604) 683-4655
X030683,2024-12-01,"['trading', 'rental']",Brokerage,Coastal Key Mortgage & Realty Group,Coastal Key Mortgage & Realty Group Inc.,Langley,"201-23189 Francis Avenue, Langley",201-23189 Francis Avenue, Langley,V1M 0G4,(604) 588-4466,(604) 588-4483
X029480,2025-11-30,"['trading', 'rental', 'strata']",Brokerage,Coastal Life Realty Ltd.,Coastal Life Realty Ltd.,Pender Island,"2603 Reef Road, Pender Island",2603 Reef Road, Pender Island,V0N 2M2,(250) 629-9998,(250) 629-6877
X021319,2024-08-26,"['trading', 'rental', 'strata']",Brokerage,Coldwell Banker Horizon Realty,Horizon Realty Ltd.,Kelowna,"14 - 1470 Harvey Avenue, Kelowna",14 - 1470 Harvey Avenue, Kelowna,V1Y 9K8,(250) 860-7500,(250) 868-2488
X028652,2024-01-17,"['trading', 'rental', 'strata']",Branch Office,Coldwell Banker Horizon Realty,Horizon Realty Ltd.,Kelowna,"14-1470 Harvey Ave, Kelowna",14-1470 Harvey Ave, Kelowna,V1Y 9K8,(250) 860-1411,(250) 860-9521
X029008,2024-05-19,['trading'],Branch Office,Coldwell Banker Horizon Realty,Horizon Realty Ltd.,Westbank,"311 3021 Louie Drive, Westbank",311 3021 Louie Drive, Westbank,V4T 3E2,(250) 768-8001,(250) 808-2488
X029707,2024-05-31,"['trading', 'rental', 'strata']",Branch Office,Coldwell Banker Horizon Realty,Horizon Realty Ltd.,Peachland,"E 5878 Beach Avenue, Peachland",E 5878 Beach Avenue, Peachland,V0H 1X7,(250) 767-2744,(250) 767-6771
X032567,2024-04-21,"['trading', 'rental']",Branch Office,Coldwell Banker Horizon Realty,Horizon Realty Ltd.,Peachland,"105A-4200 Beach Avenue, Peachland",105A-4200 Beach Avenue, Peachland,V0H 1X6,(250) 860-7500,(888) 871-0435
X029265,2025-04-08,"['trading', 'rental']",Brokerage,Coldwell Banker Kamloops Realty,Sun Rivers Realty Ltd.,Kamloops,"1701 Sun Rivers Drive, Kamloops",1701 Sun Rivers Drive, Kamloops,V2H 0A2,(250) 377-7722,
X032170,2025-12-02,"['trading', 'rental']",Brokerage,Coldwell Banker Marquise Realty,1053907 BC Ltd.,Surrey,"103-3088 Croydon Drive, Surrey",103-3088 Croydon Drive, Surrey,V3Z 0T1,(604) 535-7653,(604) 541-1466
X034808,2025-01-28,"['trading', 'rental']",Brokerage,Coldwell Banker Oceanside Real Estate,1175487 BC Ltd.,Victoria,"3194 Douglas Street, Victoria",3194 Douglas Street, Victoria,V8Z 3K6,(250) 383-1500,(250) 383-1533
X034863,2025-01-28,"['trading', 'rental']",Branch Office,Coldwell Banker Oceanside Real Estate,1175487 BC Ltd.,Victoria,"117-662 Goldstream Avenue, Victoria",117-662 Goldstream Avenue, Victoria,V9B 0N8,(250) 383-1500,(778) 441-2840
X036475,2025-06-16,"['trading', 'rental']",Branch Office,Coldwell Banker Oceanside Real Estate,1175487 BC Ltd.,Sidney,"A 9715 Second St, Sidney",A 9715 Second St, Sidney,V8L 3C3,(250) 383-1500,
X029045,2024-09-15,"['trading', 'rental']",Brokerage,Coldwell Banker Prestige Realty,0808799 BC Ltd.,Vancouver,"310-638 Broughton Street, Vancouver",310-638 Broughton Street, Vancouver,V6G 3K3,(604) 408-0008,(604) 488-0890
X029048,2024-10-28,"['trading', 'rental']",Branch Office,Coldwell Banker Prestige Realty,0808799 BC Ltd.,North Vancouver,"101-2221 Panorama Drive, North Vancouver",101-2221 Panorama Drive, North Vancouver,V7G 1V4,(604) 971-2683,(604) 971-1798
X021637,2025-03-24,"['trading', 'rental', 'strata']",Brokerage,Coldwell Banker Rosling Real Estate (Nelson),Rosling Real Estate (Nelson) Ltd.,Nelson,"593 Baker Street, Nelson",593 Baker Street, Nelson,V1L 4J1,(250) 352-3581,(250) 352-5102
X025301,2024-03-07,['trading'],Branch Office,Coldwell Banker Rosling Real Estate (Nelson),Rosling Real Estate (Nelson) Ltd.,Kaslo,"424 Front Street, Kaslo",424 Front Street, Kaslo,V0G 1M0,(250) 352-3581,
X027879,2025-04-29,['trading'],Branch Office,Coldwell Banker Rosling Real Estate (Nelson),Rosling Real Estate (Nelson) Ltd.,Nakusp,"309 Broadway Street, Box 68, Nakusp",309 Broadway Street, Box 68,V0G 1R0,(250) 352-3581,(250) 265-3004
REX603032,2025-05-09,"['trading', 'rental']",Branch Office,Coldwell Banker Universe Realty,OMAX Realty Ltd.,Abbotsford,"208-1779 Clearbrook Rd, Abbotsford",208-1779 Clearbrook Rd, Abbotsford,V2T 0K6,(604) 584-1444,
X029063,2024-11-01,"['trading', 'rental']",Brokerage,Coldwell Banker Universe Realty,OMAX Realty Ltd.,Surrey,"204-6625 152A Street, Surrey",204-6625 152A Street, Surrey,V3S 0B3,(604) 584-1444,(604) 584-4511
REX605202,2025-12-14,"['trading', 'rental', 'strata']",Branch Office,Colliers,Colliers Macaulay Nicolls Inc.,Vancouver,"2300 - 1066 West Hastings Street, Vancouver",2300 - 1066 West Hastings Street, Vancouver,V6E 3X1,(604) 681-4111,
X015592,2024-02-28,"['trading', 'rental', 'strata']",Brokerage,Colliers,Colliers Macaulay Nicolls Inc.,Vancouver,"200 Granville Street, 19th Floor, Vancouver",200 Granville Street, 19th Floor,V6C 2R6,(604) 681-4111,(604) 661-0849
X020325,2025-05-04,['trading'],Branch Office,Colliers,Colliers Macaulay Nicolls Inc.,Surrey,"1850-13450 102 Avenue, Surrey",1850-13450 102 Avenue, Surrey,V3T 5X3,(604) 681-4111,(604) 661-0849
X022851,2025-01-08,"['trading', 'rental', 'strata']",Branch Office,Colliers,Colliers Macaulay Nicolls Inc.,Victoria,"1110 - 1175 Douglas Street, Victoria",1110 - 1175 Douglas Street, Victoria,V8W 2E1,(250) 388-6454,(250) 382-3564
X028908,2025-07-09,"['trading', 'rental']",Branch Office,Colliers,Colliers Macaulay Nicolls Inc.,Nanaimo,"105-335 Wesley Street, Nanaimo",105-335 Wesley Street, Nanaimo,V9R 2T5,(250) 740-1060,(250) 740-1067
X033005,2024-09-12,"['trading', 'rental', 'strata']",Branch Office,Colliers,Colliers Macaulay Nicolls Inc.,Kelowna,"304 - 546 Leon Avenue, Kelowna",304 - 546 Leon Avenue, Kelowna,V1Y 6J6,(250) 763-2300,(250) 763-2304
X038032,2024-10-03,"['rental', 'strata']",Brokerage,Colosseum Property Management,Colosseum Property Management Corp.,Coquitlam,"#205-1062 Austin Avenue, Coquitlam",#205-1062 Austin Avenue, Coquitlam,V3K 3P3,(778) 840-0909,
X025872,2025-03-17,"['trading', 'rental', 'strata']",Brokerage,Columbia Property Management Ltd.,Columbia Property Management Ltd.,Kamloops,"#100 - 388 1st Avenue, Kamloops",#100 - 388 1st Avenue, Kamloops,V2C 6W3,(250) 851-9310,(250) 851-2573
REX605111,2025-11-29,"['rental', 'strata']",Branch Office,Colyvan Pacific Real Estate Management Services Ltd.,Colyvan Pacific Real Estate Management Services Ltd.,,,,,,(604) 638-8399,
X021276,2024-07-23,"['rental', 'strata']",Brokerage,Colyvan Pacific Real Estate Management Services Ltd.,Colyvan Pacific Real Estate Management Services Ltd.,Vancouver,"1325-1100 Melville Street, Vancouver",1325-1100 Melville Street, Vancouver,V6E 4A6,(604) 683-8399,(604) 683-7399
X034953,2025-03-30,"['rental', 'strata']",Branch Office,Colyvan Pacific Real Estate Management Services Ltd.,Colyvan Pacific Real Estate Management Services Ltd.,Nanaimo,"#3 - 4488 Wellington Road, Nanaimo",#3 - 4488 Wellington Road, Nanaimo,V9T 2H3,(250) 754-4001,
X019404,2024-12-22,"['trading', 'rental']",Brokerage,Commercial Marketing Inc.,Commercial Marketing Inc.,Vancouver,"3270 West 31st Avenue, Vancouver",3270 West 31st Avenue, Vancouver,V6L 2A7,(604) 266-1865,(604) 261-9387
X026845,2025-05-17,"['trading', 'rental']",Brokerage,Commercial Real Estate Services Inc.,Commercial Real Estate Services Inc.,Vancouver,"920 - 475 West Georgia Street, Vancouver",920 - 475 West Georgia Street, Vancouver,V6B 4M9,(604) 689-3800,(604) 689-3722
X027831,2025-04-11,"['trading', 'rental']",Brokerage,Commercial Tenant Advisory Group Ltd.,Commercial Tenant Advisory Group Ltd.,Vancouver,"280-830 West Pender Street, Vancouver",280-830 West Pender Street, Vancouver,V6C 1J8,(604) 682-8506,(604) 684-0642
X028550,2025-11-30,['strata'],Brokerage,Comox Valley Condominium Services Ltd.,Comox Valley Condominium Services Ltd.,Comox,"301 Alpine Street, Comox",301 Alpine Street, Comox,V9M 1G1,(250) 890-0125,(250) 890-0388
X019233,2024-11-18,"['trading', 'rental', 'strata']",Brokerage,Compass Point Real Estate Services Inc.,Compass Point Real Estate Services Inc.,Richmond,"1243-13351 Commerce Parkway, Richmond",1243-13351 Commerce Parkway, Richmond,V6V 2X7,(604) 214-8645,(604) 214-8646
X027361,2025-05-24,"['trading', 'rental', 'strata']",Brokerage,Complete Residential Property Management Ltd.,Complete Residential Property Management Ltd.,Victoria,"109-2302 Millstream Road, Victoria",109-2302 Millstream Road, Victoria,V9B 6H2,(250) 370-7093,(250) 370-1127
X020962,2026-01-01,"['trading', 'rental']",Brokerage,Concert Realty Services Ltd.,Concert Realty Services Ltd.,Vancouver,"8th Floor, 1190 Hornby Street, Vancouver",8th Floor, 1190 Hornby Street,V6Z 2K5,(604) 689-2711,(604) 688-6882
X036459,2025-06-20,['strata'],Brokerage,Condo Bridge,CondoBridge Management Ltd.,Vancouver,"400-319 West Hastings Street, Vancouver",400-319 West Hastings Street, Vancouver,V6B 1H6,(888) 760-9981,
X034301,2024-01-08,"['trading', 'rental', 'strata']",Brokerage,Condo Clear Services Inc.,Condo Clear Services Inc.,Victoria,"300-1095 McKenzie Avenue, Victoria",300-1095 McKenzie Avenue, Victoria,V8P 2L5,(250) 853-7446,
X030815,2025-06-14,"['rental', 'strata']",Brokerage,Connor Property Management Ltd.,Connor Property Management Ltd.,Salt Spring Island,"1465 Beddis Road, Salt Spring Island",1465 Beddis Road, Salt Spring Island,V8K 2E2,(250) 537-0070,(250) 537-0787
090784,2024-11-05,"['trading', 'rental']",Sole Proprietor,Contact Realty,Mary Carmelita Chan,Vancouver,"170-422 Richards St, Vancouver",170-422 Richards St, Vancouver,V6B 2Z4,,
X038054,2024-11-23,['strata'],Brokerage,Converge Condo Management Inc.,Converge Condo Management Inc.,Victoria,"535 Yates Street, 2nd Floor, Victoria",535 Yates Street, 2nd Floor,V8W 2Z6,(778) 403-7100,
X034666,2024-07-15,['trading'],Brokerage,Conwest Sales & Marketing Ltd..,Conwest Sales & Marketing Ltd..,Vancouver,"401-1930 Pandora Street, Vancouver",401-1930 Pandora Street, Vancouver,V5L 0C7,(604) 293-3477,(604) 293-3478
X028702,2024-04-30,"['trading', 'rental']",Brokerage,Corbel Commercial Real Estate Services,Corbel Commercial Inc.,Vancouver,"632 Citadel Parade, Vancouver",632 Citadel Parade, Vancouver,V6B 1X3,(604) 609-0882,(604) 609-0886
X035949,2025-02-04,"['trading', 'rental', 'strata']",Brokerage,Cornerstone Park Realty,1279746 BC Ltd.,Abbotsford,"201-33230 Old Yale Rd, Abbotsford",201-33230 Old Yale Rd, Abbotsford,V2S 2J5,(604) 200-4040,
X017769,2025-11-01,"['trading', 'rental', 'strata']",Brokerage,Cornerstone Properties Ltd.,Cornerstone Properties Ltd.,Victoria,"#301 - 1001 Cloverdale Avenue, Victoria",#301 - 1001 Cloverdale Avenue, Victoria,V8X 4C9,(250) 475-2005,(250) 475-2008
X000840,2025-06-29,"['trading', 'rental']",Brokerage,Coronet Realty Ltd.,Coronet Realty Ltd.,Vancouver,"3582 East Hastings Street, Vancouver",3582 East Hastings Street, Vancouver,V5K 2A7,(604) 298-3235,(604) 298-4003
X028841,2024-10-29,"['trading', 'rental']",Brokerage,Corporate Accord Realty Ltd.,Corporate Accord Realty Ltd.,Kelowna,"500 Sarsons Road, Kelowna",500 Sarsons Road, Kelowna,V1W 1C2,(250) 470-9551,(250) 764-4001
X024103,2024-04-19,"['trading', 'rental']",Brokerage,Countrywide Village Realty Ltd.,Countrywide Village Realty Ltd.,Lake Cowichan,"145 South Shore Road, Box 45, Lake Cowichan",145 South Shore Road, Box 45,V0R 2G0,(250) 749-6660,(250) 749-6670
X028979,2024-02-19,['trading'],Brokerage,Courtenay Comox Realty Ltd.,Courtenay Comox Realty Ltd.,Comox,5-1787 Comox,5-1787 Comox,,V9M 3L9,(250) 339-9596,(250) 339-9695
X029351,2025-08-30,['trading'],Brokerage,Couverdon Realty Ltd.,Couverdon Realty Ltd.,Nanaimo,"201-648 Terminal Avenue, Nanaimo",201-648 Terminal Avenue, Nanaimo,V9R 5E2,(250) 716-3700,(250) 716-3782
X028771,2024-06-18,"['trading', 'rental', 'strata']",Brokerage,Creighton and Associates Realty,CA Realty Ltd.,Richmond,"1135-11980 Hammersmith Way, Richmond",1135-11980 Hammersmith Way, Richmond,V7A 0A4,(604) 288-7346,(866) 886-6473
X034687,2024-07-31,['trading'],Brokerage,Cresa Vancouver,North Downs Realty Inc.,Vancouver,"1500 - 800 West Pender Street, Vancouver",1500 - 800 West Pender Street, Vancouver,V6C 2V6,(604) 628-9806,
X026029,2025-07-31,"['trading', 'rental']",Brokerage,Crestwell Realty Inc.,Crestwell Realty Inc.,Vancouver,"606-450 SW Marine Drive, Vancouver",606-450 SW Marine Drive, Vancouver,V5X 0C3,(604) 664-0627,(604) 664-0629
112242,2024-02-02,['trading'],Sole Proprietor,CRExpert,Kenneth Ross Stathers,Squamish,"38016 Cleveland Avenue, PO Box 1159 Station Main, Squamish",38016 Cleveland Avenue, PO Box 1159 Station Main,V8B 0A8,(647) 331-9058,
X000868,2025-06-29,"['trading', 'rental']",Brokerage,Crosina Realty Ltd.,Crosina Realty Ltd.,Williams Lake,"171 Oliver Street, Williams Lake",171 Oliver Street, Williams Lake,V2G 1L9,(250) 392-4422,(250) 398-8899
X029040,2024-09-02,"['rental', 'strata']",Brokerage,Crossroads Management Ltd.,Crossroads Management Ltd.,Surrey,"215-7455 132 St, Surrey",215-7455 132 St, Surrey,V3W 1J8,(778) 578-4445,(778) 578-4447
X025401,2024-05-12,"['trading', 'rental']",Brokerage,Cushman & Wakefield,Cushman & Wakefield ULC,Vancouver,"700 - 700 West Georgia Street, P.O. Box 10023, Pacific Centre, Vancouver",700 - 700 West Georgia Street, P.O. Box 10023,V7Y 1A1,(604) 683-3111,(604) 683-0432
X025477,2024-06-17,"['trading', 'rental']",Branch Office,Cushman & Wakefield,Cushman & Wakefield ULC,Vancouver,"Suite 1140 - 700 West Georgia Street, Vancouver",Suite 1140 - 700 West Georgia Street, Vancouver,V7Y 1A1,(604) 683-8181,(604) 683-6435
X030699,2025-01-08,['trading'],Branch Office,Cushman & Wakefield,Cushman & Wakefield ULC,Victoria,"340-730 View Street, Victoria",340-730 View Street, Victoria,V8W 3Y7,(250) 410-3000,(250) 410-3009
X025394,2024-05-30,"['trading', 'rental']",Brokerage,Cushman & Wakefield Asset Services ULC,Cushman & Wakefield Asset Services ULC,Vancouver,"700-700 West Georgia Street, PO Box 10023, Pacific Centre, Vancouver",700-700 West Georgia Street, PO Box 10023,V7Y 1A1,(604) 420-6322,(604) 420-9559
150551,2024-12-05,"['trading', 'rental', 'strata']",Sole Proprietor,Custom Real Estate & Property Management,Tammara Tenelle Davy,Sparwood,"1288 Pinyon Court, Sparwood",1288 Pinyon Court, Sparwood,V0B 2G2,(250) 425-2968,
X031893,2025-09-03,"['trading', 'rental', 'strata']",Brokerage,Custom Realty Ltd.,Custom Realty Ltd.,North Vancouver,"410 - 145 Chadwick Court, North Vancouver",410 - 145 Chadwick Court, North Vancouver,V7M 3K1,(604) 916-6345,
X033507,2025-01-27,"['trading', 'rental', 'strata']",Branch Office,Custom Realty Ltd.,Custom Realty Ltd.,New Westminster,"300 - 604 Columbia Street, New Westminster",300 - 604 Columbia Street, New Westminster,V3M 1A5,(604) 916-6554,
X000898,2025-06-29,"['trading', 'rental']",Brokerage,D.F.H. Real Estate Ltd.,D.F.H. Real Estate Ltd.,Victoria,"202-3795 Carey Road, Victoria",202-3795 Carey Road, Victoria,V8Z 6T8,(250) 477-7291,(250) 477-3161
X023270,2025-05-03,"['trading', 'rental']",Branch Office,D.F.H. Real Estate Ltd.,D.F.H. Real Estate Ltd.,Victoria,"125-877 Goldstream Avenue, Victoria",125-877 Goldstream Avenue, Victoria,V9B 2X8,(250) 474-6003,(250) 474-0081
X025542,2024-07-21,"['trading', 'rental']",Branch Office,D.F.H. Real Estate Ltd.,D.F.H. Real Estate Ltd.,Sidney,"2405 Bevan Avenue, Sidney",2405 Bevan Avenue, Sidney,V8L 0C3,(250) 656-0131,(250) 656-0893
X029504,2025-12-15,['trading'],Branch Office,D.F.H. Real Estate Ltd.,D.F.H. Real Estate Ltd.,Cowichan Bay,1721-B Cowichan Bay,1721-B Cowichan Bay,,V0R 1N1,(250) 749-7774,(250) 743-7677
X027150,2025-02-12,"['trading', 'rental', 'strata']",Brokerage,Davin Management Ltd.,Davin Management Ltd.,Surrey,"1-10180 153 Street, Surrey",1-10180 153 Street, Surrey,V3R 0B5,(604) 594-5643,(604) 594-5071
X027305,2025-03-12,['trading'],Brokerage,Day Team Realty Ltd.,Day Team Realty Ltd.,Victoria,"301 - 3450 Uptown Boulevard, Victoria",301 - 3450 Uptown Boulevard, Victoria,V8Z 0B9,(250) 708-2000,(250) 483-6321
X031925,2025-09-03,['rental'],Brokerage,Design Marque Property Management Ltd.,Design Marque Property Management Ltd.,West Vancouver,"1765 Bellevue Avenue, West Vancouver",1765 Bellevue Avenue, West Vancouver,V7V 1A8,(604) 925-4101,(604) 925-4103
X009729,2025-06-29,"['trading', 'rental', 'strata']",Brokerage,Devon Properties Ltd.,Devon Properties Ltd.,Victoria,"100 - 990 Fort Street, Victoria",100 - 990 Fort Street, Victoria,V8V 3K2,(250) 595-7000,(250) 592-3000
X011824,2025-05-10,"['trading', 'rental']",Brokerage,Dexter Realty,Dexter Properties Inc.,Vancouver,"560-2608 Granville Street, Vancouver",560-2608 Granville Street, Vancouver,V6H 3V3,(604) 263-1144,(604) 263-6699
X028080,2024-03-15,"['trading', 'rental']",Branch Office,Dexter Realty,Dexter Properties Inc.,Vancouver,"1399 Homer Street, Vancouver",1399 Homer Street, Vancouver,V6B 5M9,(604) 689-8226,(604) 689-8206
X035324,2024-03-01,['trading'],Brokerage,Dimex Realty Inc.,Dimex Realty Inc.,Vancouver,"610 - 1155 West Pender Street, Vancouver",610 - 1155 West Pender Street, Vancouver,V6E 2P4,(604) 336-5858,
X000826,2025-06-29,"['trading', 'rental']",Brokerage,Discover Border Country Realty,Border Country Realty (1980) Ltd.,Grand Forks,"P.O. Box 2109, 347 Market Avenue, Grand Forks",P.O. Box 2109, 347 Market Avenue,V0H 1H0,(250) 442-2124,(250) 442-3577
X034635,2024-09-11,"['trading', 'rental', 'strata']",Brokerage,Diverse Property Management Ltd.,Diverse Property Management Ltd.,Abbotsford,"301-32625 South Fraser Way, Abbotsford",301-32625 South Fraser Way, Abbotsford,V2T 1X8,(604) 854-3343,
X028654,2024-02-06,"['trading', 'rental']",Brokerage,Dockside Realty Ltd.,Dockside Realty Ltd.,Pender Island,"Suite 17-4301 Bedwell Harbour Road, Pender Island",Suite 17-4301 Bedwell Harbour Road, Pender Island,V0N 2M1,(250) 629-3166,(250) 629-3168
X029209,2025-02-04,"['trading', 'rental']",Branch Office,Dockside Realty Ltd.,Dockside Realty Ltd.,Saturna Island,"100 East Point Road, Saturna Island",100 East Point Road, Saturna Island,V0N 2Y0,(250) 539-2121,(250) 629-3168
X034185,2025-10-08,"['trading', 'rental']",Branch Office,Dockside Realty Ltd.,Dockside Realty Ltd.,Pender Island,"2-4605 Bedwell Harbour Road, Pender Island",2-4605 Bedwell Harbour Road, Pender Island,V0N 2M1,(250) 629-3383,(250) 629-3311
X026942,2025-10-13,"['trading', 'rental']",Brokerage,Dodi Thorhaug Realty Inc.,Dodi Thorhaug Realty Inc.,North Vancouver,"1203-199 Victory Ship Way, North Vancouver",1203-199 Victory Ship Way, North Vancouver,V7L 0E2,(604) 789-3634,
X034976,2025-03-06,['trading'],Brokerage,Dogwood Realty,Dogwood Realty Inc.,New Westminster,"930 Eighth Street, New Westminster",930 Eighth Street, New Westminster,V3M 3T3,(604) 330-3311,
X028960,2024-02-12,"['trading', 'rental']",Brokerage,Domicile Real Estate Corp.,Domicile Real Estate Corp.,Vancouver,"102- 2524 Cypress Street, Vancouver",102- 2524 Cypress Street, Vancouver,V6J 3N2,(604) 637-3030,(604) 637-3031
X032684,2024-07-07,"['trading', 'rental']",Brokerage,Domus Realty Ltd.,Domus Realty Ltd.,Vancouver,"918 - 1030 West Georgia Street, Vancouver",918 - 1030 West Georgia Street, Vancouver,V6E 2Y3,(604) 628-2668,
X000992,2025-06-29,"['trading', 'rental', 'strata']",Brokerage,Dorset Realty Group,Dorset Realty Group Canada Ltd.,Richmond,"215-10451 Shellbridge Way, Richmond",215-10451 Shellbridge Way, Richmond,V6X 2W8,(604) 270-1711,(604) 270-8446
X023703,2025-08-26,"['trading', 'rental']",Brokerage,Double Eagle Realty Group Ltd.,Double Eagle Realty Group Ltd.,Richmond,"7611 Reeder Road, Richmond",7611 Reeder Road, Richmond,V7A 1C4,(604) 763-8686,
X035802,2025-01-01,"['trading', 'rental']",Brokerage,Downtown Suites Ltd.,Downtown Suites Ltd.,Vancouver,"1174 West Pender Street, Vancouver",1174 West Pender Street, Vancouver,V6E 2R9,(604) 694-8801,(604) 682-5634
X026753,2024-11-16,"['trading', 'rental', 'strata']",Brokerage,DPM Rental Management Ltd.,DPM Rental Management Ltd.,North Vancouver,"200 - 1460 Main Street, North Vancouver",200 - 1460 Main Street, North Vancouver,V7J 1C8,(604) 982-7059,(604) 924-5002
X034810,2024-11-08,"['trading', 'rental']",Brokerage,Dracco Pacific Realty,Dracco Holdings Ltd.,Vancouver,"3398 Dunbar Street, Vancouver",3398 Dunbar Street, Vancouver,V6S 2C1,(604) 999-5599,
REX604511,2025-10-24,['strata'],Brokerage,Duka Property Management Inc.,Duka Property Management Inc.,Vancouver,"520-999 Hastings St W, Vancouver",520-999 Hastings St W, Vancouver,V6C 2W2,(778) 791-8790,
X024595,2025-01-30,"['trading', 'rental', 'strata']",Brokerage,Dwell Property Management,482258 B.C. Ltd.,Richmond,"Suite 170, 4311 Viking Way, Richmond",Suite 170, 4311 Viking Way,V6V 2K9,(604) 821-2999,(604) 821-1822
X031477,2025-01-06,"['trading', 'rental', 'strata']",Branch Office,Dwell Property Management,482258 B.C. Ltd.,Surrey,"205 - 5577 153A Street, Surrey",205 - 5577 153A Street, Surrey,V3S 5K7,(604) 821-2999,(604) 821-1822
X028832,2024-11-28,"['trading', 'rental', 'strata']",Brokerage,Dynamic Property Management Ltd.,Dynamic Property Management Ltd.,Squamish,"37885 Second Avenue, Squamish",37885 Second Avenue, Squamish,V8B 0R2,(604) 815-4654,(866) 658-5272
X029060,2024-11-18,"['trading', 'rental']",Brokerage,E-Casa Realty Corp.,E-Casa Realty Corp.,Vancouver,"210-2695 Granville Street, Vancouver",210-2695 Granville Street, Vancouver,V6H 3H4,(604) 233-0118,(604) 739-0117
X026370,2024-04-01,"['trading', 'rental']",Brokerage,EAC Insight Realty,Dilworth Quality Homes Inc.,Kelowna,"206-2365 Gordon Drive, Kelowna",206-2365 Gordon Drive, Kelowna,V1Y 3C2,(250) 861-8411,(250) 762-6171
X033961,2025-07-23,"['trading', 'rental', 'strata']",Brokerage,Eagleson Properties Ltd.,Eagleson Properties Ltd.,Vancouver,"201 - 2940 Main Street, Vancouver",201 - 2940 Main Street, Vancouver,V5T 3G3,(604) 879-1070,(604) 879-1007
